"","q_0009_SQ2","q_0009_SQ3","q_0009_SQ4","q_0009_Ax","q_0009_other","q_0010"
"600","Yes","Yes","Yes","Not selected",NA,NA
"601","Yes","Not selected","Not selected","Not selected",NA,NA
"602","Yes","Not selected","Yes","Not selected",NA,"i am interested i psychotherapy for psychosis"
"603","Not selected","Yes","Not selected","Not selected",NA,NA
"604","Yes","Yes","Yes","Not selected",NA,NA
"605","Yes","Not selected","Not selected","Not selected",NA,NA
"606","Yes","Yes","Not selected","Not selected",NA,NA
"607","Not selected","Yes","Not selected","Not selected",NA,NA
"608","Not selected","Not selected","Not selected","Not selected",NA,NA
"609","Not selected","Yes","Yes","Not selected",NA,NA
"610","Not selected","Not selected","Not selected","Not selected","TA","It is a vital part of psychiatry. It is a shame that iti is not a part of our training. Drugs are not always the solution. It is as important for the patient as it is for his family who has to live with the illness as well."
"611","Not selected","Not selected","Not selected","Not selected","i am interested in hypnotherapy","I think having the knowledge of psychotherapy is very important for psychiatrist!"
"612","Yes","Yes","Not selected","Not selected","T",NA
"613","Not selected","Not selected","Yes","Not selected",NA,NA
"614","Yes","Yes","Not selected","Not selected",NA,"It should be part of speciality of Psychiatry."
"615","Not selected","Not selected","Yes","Not selected",NA,"I\'m just very disappointed that in our country we don\'t have not even a year of psychotherapy in our programe and that our leaders for education in psychiatry have no interest at all in psychotherapy"
"616","Yes","Not selected","Yes","Not selected",NA,"It is important that psychoterapy became a part of psychiatry training in our country."
"617","Yes","Yes","Not selected","Not selected",NA,"I am training in Child and adolescent psychiatry and my preferences (mentioned above)are very important for my future work as a psychiatrist."
"618","Yes","Yes","Not selected","Not selected",NA,NA
"619","Not selected","Yes","Not selected","Not selected",NA,"i think this modality is very important in child and adolescent psychiatry, which is my field of training"
"620","Not selected","Yes","Not selected","Not selected",NA,NA
"621","Yes","Not selected","Yes","Not selected",NA,"I believe that psychotherapy shares an equal part of basic treatment and therefore can\'t be excluded. Even if patient can be treated only with pharmacotherapy, psychotherapeutic approach provides additional help and can speed up the healing process or simply ease that process to both patient and therapeutist.     Considering the differences in effectiveness of pharmacotherapy such extra effect is not only welcome but should be intrinsic.   In my opinion every psychiatrist should have some basic knowledge of all (or major) psychotherapeutic approaches, and should, upon personal choice (or depending on main structure of patients treating), complete and perform some type (or types) of psychotherapy."
"622","Yes","Not selected","Not selected","Not selected","TA",NA
"623","Yes","Not selected","Yes","Not selected",NA,NA
"624","Not selected","Yes","Not selected","Not selected",NA,NA
"625","Yes","Not selected","Not selected","Not selected",NA,NA
"626","Yes","Not selected","Not selected","Not selected",NA,"I think psychotherapeutic knowledge is a must in psychiatry, needed for work in all settings."
"627","Not selected","Not selected","Not selected","Not selected","Gestalt Therapy","Psychotherapy is very, very important part of the psihiatrist\'s everyday\'s work. Almost 90% of our patients need at least a part of psychotherapy support. If you use that, basic psychotherapy, your patients\'ll have lower doze of their medications. ...  Of course, you\'ll not do the full psychotherapeutic intervention and therapy at your everyday\'s working place. You\'ll do it afterwards, at the individual or group therapy. ..."
"628","Yes","Yes","Not selected","Not selected",NA,"I think Psychotherapy is very important for every Psychiatrist. And I think we should have basic courses of different types of Psychotherapy during our residency. So we can decide which Psychotherapy we prefer and would like to do in our work. And residents who dont like to do Psychotherapy they would have some basic knowledge of it.   In Slovenia we dont get knowledge of Psychotherapy during our basic education in Psychiatry...we just learn about Psychopatology, Psychopharmacology...and if we would like to have knowlegde of Psychotherapy we have to learn on our own."
"629","Not selected","Not selected","Not selected","Not selected",NA,"Psychotherapy has been forgoten for few years now in our country. I belive that psychoterapy is very important for understanding our patients and to treat them more integrative. As we know, the most effective treatement is combination psichopharmacology and psychotherapy. I think that knolege about psychotherapy should be included in regular program of speciality of psichiatry."
"630","Yes","Yes","Yes","Not selected",NA,NA
"631","Yes","Not selected","Yes","Not selected",NA,NA
"632","Yes","Yes","Not selected","Not selected",NA,NA
"633","Yes","Not selected","Not selected","Not selected",NA,"I\'m ineterested in CBT because of it\'s wide range of indications and growing evidence for it\'s application in psychosis."
"634","Yes","Not selected","Not selected","Not selected",NA,"I think that psychotherapy is important, but I am not very much interested in psychotherapy."
"635","Not selected","Not selected","Not selected","Not selected",NA,NA
"636","Yes","Yes","Yes","Not selected",NA,NA
"637","Yes","Not selected","Not selected","Not selected",NA,"I do think that psychotherapy should constitue an essential part of the training in Psychiatry."
"638","Not selected","Yes","Not selected","Not selected",NA,"Psychotherapy training is in my opinion an essential part of the psychiatric education. Even if you do not practise it later separately, it provides you with knowledge and technical skills you need to use in you everyday psychiatric practice."
"639","Yes","Yes","Yes","Not selected",NA,NA
"640","Yes","Not selected","Yes","Not selected",NA,"very,very important..."
"641","Yes","Yes","Not selected","Not selected",NA,NA
"642","Not selected","Not selected","Not selected","Not selected",NA,NA
"643","Yes","Yes","Yes","Not selected",NA,NA
"644","Not selected","Yes","Not selected","Not selected",NA,NA
"645","Yes","Not selected","Not selected","Not selected",NA,"I think practicing psychiatry without the knowledge on psychotherapy is like limping on one leg. It is very important."
"646","Yes","Not selected","Not selected","Not selected",NA,NA
"647","Yes","Yes","Yes","Not selected",NA,NA
"648","Not selected","Not selected","Not selected","Not selected",NA,NA
"649","Not selected","Not selected","Not selected","Not selected",NA,NA
"650","Yes","Yes","Not selected","Not selected",NA,NA
"651","Not selected","Not selected","Not selected","Not selected",NA,NA
"652","Not selected","Not selected","Not selected","Not selected",NA,NA
"653","Yes","Yes","Yes","Not selected",NA,NA
"654","Yes","Yes","Not selected","Not selected",NA,NA
"655","Yes","Yes","Yes","Not selected","Interpersonal th, body-oriented psyth..","I will be trained in family/systemic therapy in my months of free training, during next year"
"656","Yes","Yes","Yes","Not selected",NA,NA
"657","Yes","Yes","Yes","Not selected",NA,NA
"658","Not selected","Yes","Not selected","Not selected",NA,NA
"659","Not selected","Not selected","Not selected","Not selected",NA,NA
"660","Not selected","Yes","Not selected","Not selected",NA,NA
"661","Not selected","Yes","Not selected","Not selected",NA,"Psycotherapy is the most valuable link between the therapist andthe patient."
"662","Yes","Yes","Not selected","Not selected",NA,"I think that even if you dont do specific psychoterapeutic work with patients, knowing techniques and concepts from some kinds of psychotherapy is necesary to understand and help your patients."
"663","Not selected","Not selected","Not selected","Not selected",NA,NA
"664","Not selected","Not selected","Not selected","Not selected",NA,NA
"665","Not selected","Not selected","Not selected","Not selected",NA,NA
"666","Not selected","Not selected","Not selected","Not selected",NA,NA
"667","Yes","Yes","Not selected","Not selected",NA,NA
"668","Yes","Yes","Yes","Not selected",NA,"I think that the main stone in psychiatry training in regatd psychotherapy should be psycoanalitic training. Over it, you can combine family therapy, gestalt Therapy, Group  Psychotherapy, Therapeutic Community, Body-oriented  Psychotherapy or whatever you feel that could work, depending on the patient and your enviroment."
"669","Not selected","Not selected","Not selected","Not selected",NA,NA
"670","Not selected","Yes","Yes","Not selected","gestalt",NA
"671","Yes","Not selected","Yes","Not selected",NA,NA
"672","Not selected","Yes","Yes","Not selected",NA,NA
"673","Not selected","Not selected","Yes","Not selected",NA,NA
"674","Yes","Yes","Yes","Not selected",NA,NA
"675","Not selected","Yes","Not selected","Not selected",NA,NA
"676","Not selected","Not selected","Not selected","Not selected",NA,NA
"677","Not selected","Yes","Not selected","Not selected","Clinical Hypnosis",NA
"678","Not selected","Not selected","Not selected","Not selected",NA,NA
"679","Not selected","Not selected","Yes","Not selected",NA,"I am interested but don't want to work as a therapist as I don't feel I am well trained for doing it"
"680","Not selected","Not selected","Not selected","Not selected","Psicoterapia breve",NA
"681","Not selected","Not selected","Not selected","Not selected",NA,NA
"682","Not selected","Yes","Not selected","Not selected",NA,NA
"683","Not selected","Yes","Yes","Not selected",NA,"I think any professional working in mental health should have a minimum training in psychotherapy, I particularly prefer a psychodinamic ground in which you can add any interest you have as I do with familiar therapy and group therapy. Usually I have found interesting combine it with a body-oriented therapy in order to release emotion that can be blocked."
"684","Yes","Yes","Yes","Not selected","Narrative, Contextual, Existential...",NA
